valve_position,zeta_value,kv_value,sigma_critical,sigma_constant
2%,1.9E+09,2.95,0.01,0.02
4%,3.4E+07,22.32,0.05,0.06
6%,3.2E+06,72.97,0.09,0.13
8%,5.9E+05,169.01,0.15,0.20
10%,1.6E+05,324.04,0.22,0.29
12%,5.5E+04,551.15,0.29,0.38
14%,2.3E+04,862.86,0.36,0.48
16%,1.0E+04,"1,271.00",0.43,0.57
18%,5.3E+03,"1,786.62",0.50,0.66
20%,2.9E+03,"2,419.87",0.57,0.76
22%,1.7E+03,"3,179.78",0.63,0.84
24%,1.0E+03,"4,074.19",0.70,0.93
26%,6.4E+02,"5,109.57",0.76,1.01
28%,4.2E+02,"6,290.87",0.81,1.08
30%,2.9E+02,"7,621.47",0.86,1.15
32%,2.0E+02,"9,103.05",0.91,1.21
34%,1.5E+02,"10,735.54",0.96,1.27
36%,1.1E+02,"12,517.11",1.00,1.33
38%,8.0E+01,"14,444.21",1.04,1.38
40%,6.2E+01,"16,511.59",1.08,1.43
42%,4.8E+01,"18,712.43",1.11,1.48
44%,3.8E+01,"21,038.45",1.14,1.52
46%,3.0E+01,"23,480.11",1.17,1.56
48%,2.5E+01,"26,026.75",1.20,1.59
50%,2.0E+01,"28,666.83",1.22,1.63
52%,1.7E+01,"31,388.15",1.25,1.66
54%,1.4E+01,"34,178.04",1.27,1.69
56%,1.2E+01,"37,023.65",1.29,1.72
58%,1.1E+01,"39,912.09",1.31,1.74
60%,9.1E+00,"42,830.67",1.33,1.77
62%,8.0E+00,"45,767.06",1.34,1.79
64%,7.1E+00,"48,709.44",1.36,1.81
66%,6.3E+00,"51,646.67",1.37,1.83
68%,5.6E+00,"54,568.30",1.39,1.85
70%,5.1E+00,"57,464.77",1.40,1.86
72%,4.6E+00,"60,327.35",1.41,1.88
74%,4.2E+00,"63,148.25",1.43,1.90
76%,3.9E+00,"65,920.57",1.44,1.91
78%,3.6E+00,"68,638.33",1.45,1.92
80%,3.3E+00,"71,296.42",1.46,1.94
82%,3.1E+00,"73,890.58",1.47,1.95
84%,2.9E+00,"76,417.36",1.47,1.96
86%,2.7E+00,"78,874.03",1.48,1.97
88%,2.5E+00,"81,258.55",1.49,1.98
90%,2.4E+00,"83,569.53",1.50,1.99
92%,2.3E+00,"85,806.12",1.50,2.00
94%,2.2E+00,"87,967.97",1.51,2.01
96%,2.1E+00,"90,055.20",1.52,2.02
98%,2.0E+00,"92,068.28",1.52,2.03
100%,1.9E+00,"94,008.06",1.53,2.03
